City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cabo San Lucas,5,MX,1583117643,56,22.89,-109.91,295.15,6.7
Hermanus,0,ZA,1583117707,90,-34.42,19.23,292.59,6.55
Japura,4,ID,1583117707,60,-0.32,102.35,303.89,1.61
Narsaq,0,GL,1583117707,49,60.92,-46.05,256.15,1.0
Fare,100,PF,1583117707,76,-16.7,-151.02,301.39,9.91
New Norfolk,40,AU,1583117707,38,-42.78,147.06,289.82,5.1
Flin Flon,61,CA,1583117707,95,54.77,-101.86,254.22,2.27
Atuona,13,PF,1583117707,76,-9.8,-139.03,301.14,7.81
Viedma,0,AR,1583117707,51,-40.81,-63.0,297.61,6.74
Bluff,1,NZ,1583117708,27,-46.6,168.33,298.07,1.2
Torbay,90,CA,1583117708,100,47.67,-52.73,272.04,11.3
Buctzotz,0,MX,1583117708,65,21.2,-88.78,294.75,3.84
Upernavik,0,GL,1583117708,89,72.79,-56.15,240.17,2.28
Rikitea,100,PF,1583117708,80,-23.12,-134.97,300.03,6.52
Salalah,40,OM,1583117708,69,17.02,54.09,297.15,2.1
Port Hardy,90,CA,1583117588,100,50.7,-127.42,276.15,3.1
Port Pirie,75,AU,1583117708,68,-33.18,138.02,293.15,7.7
Nicolás R Casillas,5,MX,1583117708,33,20.53,-103.47,295.15,7.2
Ushuaia,1,AR,1583117709,57,-54.8,-68.3,284.15,6.2
Dikson,100,RU,1583117709,89,73.51,80.55,263.18,10.94
Sadon,79,RU,1583117709,91,42.85,44.0,269.3,0.3
Tasiilaq,100,GL,1583117709,85,65.61,-37.64,268.15,1.0
São João da Barra,100,BR,1583117709,86,-21.64,-41.05,295.7,5.45
Albany,1,US,1583117583,62,42.6,-73.97,270.37,1.5
Talnakh,75,RU,1583117709,92,69.49,88.4,267.15,13.0
Broome,90,US,1583117709,68,42.25,-75.83,274.26,1.5
Ishigaki,75,JP,1583117709,73,24.34,124.16,294.15,6.2
Esperance,90,AU,1583117709,55,-33.87,121.9,291.15,6.2
Timmins,75,CA,1583117709,68,48.47,-81.33,270.15,6.2
Tiznit Province,0,MA,1583117709,75,29.58,-9.5,285.76,0.77
Aykhal,0,RU,1583117710,84,66.0,111.5,255.15,2.0
Jamestown,40,US,1583117652,50,42.1,-79.24,279.82,5.7
Barrow,1,US,1583117710,74,71.29,-156.79,241.15,3.1
Hilo,75,US,1583117710,83,19.73,-155.09,294.15,2.6
Ribeira Grande,71,PT,1583117710,94,38.52,-28.7,288.69,6.72
Caucayá,78,CO,1583117710,96,-0.19,-74.78,296.11,0.82
Punta Arenas,75,CL,1583117561,62,-53.15,-70.92,285.15,5.1
Port Elizabeth,98,ZA,1583117710,93,-33.92,25.57,290.15,2.1
Coihueco,0,CL,1583117710,72,-36.62,-71.83,290.15,3.6
Poya,100,NC,1583117710,83,-21.35,165.15,299.79,3.74
Brae,32,GB,1583117710,86,60.4,-1.35,278.15,7.7
Arraial do Cabo,100,BR,1583117711,81,-22.97,-42.03,296.6,3.89
Cidreira,0,BR,1583117711,78,-30.18,-50.21,296.08,9.77
Kruisfontein,99,ZA,1583117711,95,-34.0,24.73,290.37,2.1
Mataura,0,NZ,1583117711,51,-46.19,168.86,296.26,0.18
Chui,0,UY,1583117711,89,-33.7,-53.46,293.0,5.08
Portland,90,US,1583117676,62,45.52,-122.68,281.48,0.4
Qui Nhon,93,VN,1583117711,69,13.77,109.23,300.34,1.26
Taltal,0,CL,1583117711,85,-25.4,-70.48,289.62,0.56
Orcopampa,100,PE,1583117711,92,-15.27,-72.34,276.16,1.06
Petropavlovsk-Kamchatskiy,60,RU,1583117711,58,53.05,158.65,272.15,1.0
Faanui,100,PF,1583117711,74,-16.48,-151.75,301.75,10.28
Lebu,47,CL,1583117711,99,-37.62,-73.65,284.98,0.88
Qaanaaq,0,GL,1583117711,52,77.48,-69.36,243.18,3.46
Makkah al Mukarramah,0,SA,1583117712,29,21.43,39.83,293.37,1.98
Abu Samrah,0,SY,1583117712,89,35.3,37.18,281.39,4.87
Nyurba,79,RU,1583117712,92,63.28,118.33,254.72,1.13
Guerrero Negro,99,MX,1583117712,74,27.98,-114.06,288.05,5.95
Merritt Island,1,US,1583117634,81,28.54,-80.67,289.26,1.5
Leningradskiy,100,RU,1583117712,81,69.38,178.42,256.73,5.85
Tiksi,37,RU,1583117712,89,71.69,128.87,253.26,6.67
Port Lincoln,59,AU,1583117712,58,-34.73,135.87,290.4,8.32
Longyearbyen,75,SJ,1583117712,71,78.22,15.64,257.15,3.6
Bellevue,90,US,1583117423,65,47.61,-122.2,280.93,0.88
College,90,US,1583117712,84,64.86,-147.8,261.48,3.1
Cape Town,0,ZA,1583117956,93,-33.93,18.42,289.82,2.1
Panabá,0,MX,1583117712,67,21.28,-88.27,294.51,5.99
Havelock,1,US,1583117713,74,34.88,-76.9,281.15,1.5
Busselton,100,AU,1583117713,24,-33.65,115.33,298.15,7.25
Bredasdorp,38,ZA,1583117713,88,-34.53,20.04,292.59,1.5
Belyy Yar,0,RU,1583117713,85,53.6,91.39,263.15,1.0
